"folioviv","foliohog","numren","sexo","edad","disc1","hablaind","alfabetism","asis_esc"
"1400180001","1","01","1",81,"2","2","1","2"
"1400180001","1","02","2",73,"1","2","1","2"
"1400180002","1","01","1",78,"2","2","1","2"
"1400180002","1","02","2",70,"4","2","1","2"
"1400180002","1","03","2",50,"8","2","1","2"
"1400180002","1","04","1",41,"8","2","1","2"
"1400180002","1","05","2",8,"8","2","1","1"
"1400180005","1","01","1",35,"8","2","1","2"
"1400180006","1","01","2",54,"8","2","1","2"
"1400189601","1","01","1",46,"8","2","1","2"
"1400189601","1","02","2",40,"8","2","1","1"
"1400189601","1","03","2",20,"8","2","1","1"
"1400189601","1","04","2",17,"8","2","1","2"
"1400189601","1","05","1",13,"8","2","1","1"
"1400189601","1","06","1",7,"8","2","1","1"
"1400189603","1","01","2",60,"1","2","1","2"
"1400189603","1","02","2",37,"8","2","1","2"
"1400189604","1","01","1",56,"8","2","1","2"
"1400189604","1","02","2",54,"8","2","1","2"
"1400189604","1","03","1",27,"8","2","1","2"
"1400189604","1","04","1",19,"8","2","1","1"
"1400189605","1","01","1",50,"8","2","1","2"
"1400189605","1","02","2",47,"8","2","1","2"
"1400189605","1","03","1",13,"8","2","1","1"
"1400189605","1","04","1",11,"8","2","1","1"
"1400189606","1","01","1",71,"1","2","1","2"
"1400189606","1","02","2",68,"2","2","1","2"
"1400189606","2","01","1",40,"8","2","1","2"
"1400189606","2","02","2",45,"8","2","1","2"
"1400189606","2","03","2",10,"4","2","1","1"
"1400189606","2","04","2",8,"8","2","1","1"
"1400189606","2","05","1",5,"8","2","2","1"
"1400189606","2","06","1",1,"8","","",""
"1400264701","1","01","2",29,"8","2","1","2"
"1400264701","1","02","2",23,"8","2","1","2"
"1400264701","1","03","2",49,"8","2","1","2"
"1400264701","1","04","2",13,"8","2","1","1"
"1400264701","1","05","1",10,"8","2","1","1"
"1400264701","1","06","1",5,"8","2","1","1"
"1400264701","1","07","2",1,"8","","",""
"1400264702","1","01","1",75,"8","2","1","2"
"1400264702","1","02","2",67,"8","2","1","2"
"1400264704","1","01","2",58,"8","2","1","2"
"1400264704","1","02","2",29,"8","2","1","2"
"1400264704","1","03","1",30,"8","2","1","2"
"1400264704","1","04","1",25,"8","2","1","2"
"1400264704","1","05","1",40,"8","2","1","2"
"1400264704","1","06","2",8,"8","2","1","1"
"1400264704","1","07","2",0,"8","","",""
"1400264704","1","08","2",13,"8","2","1","1"
"1400264705","1","01","2",78,"8","2","1","2"
"1400264706","1","01","2",71,"8","2","2","2"
"1400289201","1","01","1",80,"1","2","2","2"
"1400289201","1","02","2",40,"8","2","1","2"
"1400289201","1","03","2",14,"8","2","1","1"
"1400289202","1","01","1",42,"8","2","1","2"
"1400289202","1","02","2",26,"8","2","1","2"
"1400289202","1","03","1",7,"8","2","1","1"
"1400289202","1","04","1",4,"8","2","2","1"
"1400289202","1","05","2",2,"8","","",""
"1400289203","1","01","1",39,"8","2","1","2"
"1400289203","1","02","2",40,"8","2","1","2"
"1400289203","1","03","2",10,"8","2","1","1"
"1400289203","1","04","2",9,"8","2","1","1"
"1400289203","1","05","2",35,"7","2","1","1"
"1400289203","1","06","2",40,"3","2","2","2"
"1400289204","1","01","2",67,"8","2","1","2"
"1400289204","1","02","1",42,"8","2","1","2"
"1400289204","1","03","2",29,"8","2","1","2"
"1400289204","1","04","2",5,"8","2","2","1"
"1400289206","1","01","1",66,"8","2","1","2"
"1400289206","1","02","2",65,"8","2","1","2"
"1400289206","1","03","1",33,"8","2","1","2"
"1400289206","1","04","2",31,"8","2","1","2"
"1400289206","1","05","1",12,"8","2","1","1"
"1400289206","1","06","1",0,"8","","",""
"1400434301","1","01","2",33,"8","2","1","2"
"1400434301","1","02","1",45,"8","2","1","2"
"1400434301","1","03","2",2,"8","","",""
"1400434301","1","04","1",15,"8","2","1","2"
"1400434304","1","01","2",44,"8","2","1","2"
"1400434304","1","02","2",17,"8","2","1","1"
"1400434305","1","01","1",54,"8","2","1","2"
"1400434305","1","02","2",52,"8","2","1","2"
"1400434305","1","03","1",21,"8","2","1","1"
"1400434305","1","04","2",19,"8","2","1","1"
"1400493501","1","01","2",70,"1","2","1","2"
"1400493501","1","02","1",50,"8","2","1","2"
"1400493501","1","03","2",46,"1","2","1","2"
"1400493501","1","04","2",50,"8","2","1","2"
"1400493501","1","05","1",50,"8","2","1","2"
"1400493502","1","01","2",54,"8","2","1","2"
"1400493502","1","02","2",53,"8","2","1","2"
"1400493502","1","03","2",48,"8","2","1","2"
"1400493502","1","04","1",24,"8","2","1","2"
"1400493503","1","01","2",84,"8","2","1","2"
"1400493503","1","02","2",56,"8","2","1","2"
"1400493503","1","03","1",12,"8","2","1","1"
"1400493505","1","01","1",34,"8","2","1","2"
"1400493505","1","02","2",33,"8","2","1","2"
"1400493505","1","03","1",13,"8","2","1","1"
"1400493505","1","04","1",11,"8","2","1","1"
"1400493506","1","01","1",76,"8","2","1","2"
"1400493506","1","02","2",69,"8","2","1","2"
"1400493506","1","03","2",37,"8","2","1","2"
"1400507901","1","01","1",41,"8","2","1","2"
"1400507901","1","02","2",38,"8","2","1","1"
"1400507901","1","03","1",9,"8","2","1","1"
"1400507901","1","04","2",3,"8","2","2","1"
"1400507902","1","01","1",60,"8","2","1","2"
"1400507902","1","02","2",58,"8","2","1","2"
"1400507902","1","03","2",37,"8","2","1","2"
"1400507904","1","01","1",51,"8","2","1","2"
"1400507906","1","01","1",76,"8","2","1","2"
"1400507906","1","02","2",72,"8","2","1","2"
"1400507906","1","03","2",36,"8","2","1","2"
"1400555301","1","01","2",69,"8","2","1","2"
"1400555303","1","01","2",73,"8","2","1","2"
"1400555303","1","02","1",37,"8","2","1","2"
"1400555304","1","01","2",63,"8","2","1","2"
"1400555304","1","02","1",67,"8","2","1","2"
"1400555305","1","01","1",65,"8","2","1","2"
"1400555305","1","02","1",73,"1","2","1","2"
"1400555305","1","03","2",21,"8","2","1","2"
"1400555305","1","04","1",26,"8","2","1","2"
"1400555305","1","05","1",75,"1","2","1","2"
"1400555305","1","06","2",60,"8","2","1","2"
"1400555305","1","07","1",30,"8","2","1","2"
"1400555305","1","08","2",24,"8","2","1","1"
"1400555306","1","01","1",64,"8","2","1","2"
"1400555306","1","02","2",60,"8","2","1","2"
"1400555306","1","03","2",30,"8","2","1","2"
"1400555306","1","04","1",4,"8","2","2","1"
"1400563901","1","01","1",68,"8","2","1","2"
"1400563902","1","01","2",32,"8","2","1","2"
"1400563902","1","02","1",9,"8","2","1","1"
"1400563902","1","03","2",3,"8","2","2","2"
"1400563903","1","01","1",29,"8","2","1","2"
"1400563903","1","02","2",29,"8","2","1","2"
"1400563903","1","03","1",8,"1","2","1","1"
"1400563903","1","04","1",0,"8","","",""
"1400563905","1","01","1",52,"8","2","1","2"
"1400563905","1","02","2",48,"8","2","1","2"
"1400563906","1","01","1",56,"8","2","1","2"
"1400563906","1","02","2",53,"8","2","1","2"
"1400563906","1","03","2",28,"8","2","1","2"
"1400586801","1","01","1",90,"4","2","1","2"
"1400586801","1","02","2",52,"8","2","1","2"
"1400586802","1","01","1",55,"8","2","1","2"
"1400586802","1","02","2",33,"8","2","1","2"
"1400586802","1","03","2",55,"8","2","1","2"
"1400586802","1","04","1",23,"8","2","1","2"
"1400586803","1","01","2",79,"8","2","1","2"
"1400586804","1","01","2",45,"8","2","1","2"
"1400586804","1","02","2",23,"8","2","1","2"
"1400586804","1","03","2",21,"8","2","1","1"
"1400586804","1","04","2",21,"8","2","1","2"
"1400586804","1","05","2",12,"8","2","1","1"
"1400586804","1","06","1",4,"8","2","2","1"
"1400586805","1","01","1",64,"8","2","1","2"
"1400586805","1","02","2",60,"8","2","1","2"
"1400586805","1","03","1",32,"8","2","1","2"
"1400586806","1","01","1",50,"8","2","1","2"
"1400586806","1","02","2",47,"8","2","1","2"
"1400586806","1","03","2",28,"8","2","1","2"
"1400586806","1","04","1",24,"8","2","1","2"
"1400586806","1","05","1",20,"8","2","1","1"
"1400595401","1","01","1",70,"8","2","1","2"
"1400595401","1","02","2",67,"8","2","1","2"
"1400595401","1","03","2",32,"3","2","1","2"
"1400595401","1","04","1",30,"8","2","1","2"
"1400595402","1","01","2",62,"8","2","1","2"
"1400595404","1","01","1",25,"8","2","1","2"
"1400595405","1","01","1",55,"8","2","1","2"
"1400595405","1","02","2",85,"1","2","1","2"
"1400595405","1","03","2",45,"8","2","1","2"
"1400595405","1","04","2",20,"8","2","1","1"
"1400595405","1","05","1",17,"8","2","1","1"
"1400595405","1","06","2",11,"8","2","1","1"
"1400595406","1","01","1",35,"8","1","1","2"
"1400608002","1","01","1",52,"8","2","1","2"
"1400608002","1","02","2",53,"8","2","1","2"
"1400608002","1","03","1",25,"8","2","1","2"
"1400608002","1","04","2",24,"8","2","1","2"
"1400608003","1","01","2",73,"1","2","1","2"
"1400608004","1","01","2",57,"8","2","1","2"
"1400608004","1","02","1",36,"8","2","1","2"
"1400608004","1","03","2",33,"8","2","1","2"
"1400608005","1","01","1",74,"8","2","1","2"
"1400608005","1","02","2",67,"8","2","1","2"
"1400608005","1","03","1",42,"8","2","1","2"
"1400608005","1","04","1",5,"8","2","2","1"
"1400608006","1","01","1",29,"8","2","1","2"
"1400608006","1","02","2",22,"8","2","1","2"
"1400608006","1","03","2",14,"8","2","1","1"
"1400608006","1","04","1",12,"8","2","1","1"
"1400608006","1","05","1",1,"8","","",""
"1400618601","1","01","1",67,"8","2","1","2"
"1400618602","1","01","1",36,"8","2","1","2"
"1400618603","1","01","2",75,"8","2","1","2"
"1400618603","1","02","2",44,"8","2","1","2"
"1400618603","1","03","1",49,"8","2","1","2"
"1400618603","1","04","1",21,"8","2","1","2"
"1400618603","1","05","1",48,"8","2","1","2"
"1400618603","1","06","1",16,"8","2","1","1"
"1400618603","1","07","2",13,"8","2","1","1"
"1400618604","1","01","1",30,"8","2","1","2"
"1400618604","1","02","2",30,"8","2","1","2"
"1400618605","1","01","2",56,"8","2","1","2"
"1400618605","1","02","2",83,"1","2","1","2"
"1400618605","1","03","2",18,"8","2","1","2"
"1400618605","1","04","2",15,"8","2","1","1"
"1400618605","1","05","2",0,"8","","",""
"1400618606","1","01","2",76,"8","2","1","2"
"1400618606","1","02","2",48,"8","2","1","2"
"1400618606","1","03","2",46,"8","2","1","2"
"1400618606","1","04","2",41,"1","2","1","2"
"1400618606","1","05","2",21,"8","2","1","1"
"1400618606","1","06","2",14,"8","2","1","1"
"1400618606","1","07","2",4,"8","2","2","1"
"1400618606","1","08","1",2,"8","","",""
"1400618606","1","09","2",0,"8","","",""
"1400640701","1","01","2",75,"1","2","1","2"
"1400640701","1","02","1",50,"8","2","1","2"
"1400640703","1","01","1",35,"8","2","1","2"
"1400640703","1","02","2",27,"8","2","1","2"
"1400640703","1","03","1",4,"8","2","2","1"
"1400640704","1","01","2",50,"8","2","1","2"
"1400640704","1","02","2",63,"8","2","1","2"
"1400640705","1","01","2",60,"8","2","1","2"
"1400640705","1","02","1",57,"8","2","1","2"
"1400640705","1","03","2",35,"8","2","1","2"
"1400640705","1","04","1",31,"8","2","1","2"
"1400640705","1","05","2",29,"8","2","1","2"
"1400640706","1","01","2",34,"8","2","1","2"
"1400640706","1","02","1",12,"8","2","1","1"
"1400640706","1","03","1",9,"8","2","1","1"
"1400640706","1","04","2",6,"8","2","2","1"
"1400667301","1","01","2",68,"1","2","1","2"
"1400667301","1","02","1",78,"1","2","2","2"
"1400667301","1","03","2",39,"8","2","1","2"
"1400667301","1","04","2",33,"8","2","1","2"
"1400667301","1","05","2",16,"8","2","1","1"
"1400667301","1","06","1",30,"8","2","1","2"
"1400667302","1","01","2",52,"8","2","1","2"
"1400667302","1","02","1",25,"8","2","1","2"
"1400667302","1","03","1",18,"8","2","1","1"
"1400667303","1","01","1",34,"8","2","1","2"
"1400667303","1","02","2",27,"8","2","1","2"
"1400667303","1","03","1",8,"8","2","1","1"
"1400667303","1","04","2",7,"8","2","1","1"
"1400667303","1","05","1",0,"8","","",""
"1400667304","1","01","2",65,"8","2","1","2"
"1400667305","1","01","1",28,"8","2","1","1"
"1400667305","2","01","1",37,"8","2","1","2"
"1400667305","2","02","2",32,"8","2","1","2"
"1400667305","2","03","1",8,"8","2","1","1"
"1400667305","2","04","1",1,"8","","",""
"1400723201","1","01","1",78,"8","2","1","2"
"1400723201","1","02","2",75,"1","2","1","2"
"1400723202","1","01","1",25,"8","2","1","2"
"1400723202","1","02","2",18,"8","2","1","1"
"1400723205","1","01","1",68,"8","2","1","2"
"1400723205","1","02","2",62,"8","2","1","2"
"1400723205","1","03","2",37,"8","2","1","2"
"1400723205","1","04","2",10,"8","2","1","1"
"1400750801","1","01","1",27,"8","2","1","1"
"1400750801","1","02","2",26,"8","2","1","1"
"1400750802","1","01","2",87,"1","2","1","2"
"1400750802","1","02","2",48,"8","2","1","2"
"1400750803","1","01","1",28,"8","2","1","2"
"1400750803","1","02","1",19,"8","2","1","1"
"1400750804","1","01","1",24,"8","2","1","1"
"1400791901","1","01","2",30,"8","2","1","2"
"1400791901","1","02","2",2,"8","","",""
"1400791902","1","01","1",35,"8","2","1","2"
"1400791902","1","02","2",26,"8","2","1","2"
"1400791903","1","01","1",55,"8","2","1","2"
"1400791903","1","02","2",60,"8","2","1","2"
"1400791903","1","03","2",25,"8","2","1","2"
"1400791903","1","04","2",24,"8","2","1","2"
"1400791903","1","05","2",30,"8","2","1","2"
"1400791905","1","01","1",72,"1","2","1","2"
"1400791905","1","02","2",66,"8","2","1","2"
"1400791905","1","03","2",47,"8","2","1","2"
"1400791905","1","04","1",39,"8","2","1","2"
"1400791905","1","05","1",36,"8","2","1","2"
"1400791905","1","06","1",34,"8","2","1","2"
"1400791905","1","07","1",24,"8","2","1","2"
"1400915501","1","01","1",64,"8","2","1","2"
"1400915502","1","01","2",49,"8","2","1","2"
"1400915502","1","02","2",21,"8","2","1","1"
"1400915503","1","01","2",74,"1","2","1","2"
"1400915503","1","02","2",48,"8","2","1","2"
"1400915503","1","03","1",37,"8","2","1","2"
"1400915503","1","04","1",20,"8","2","1","1"
"1400915505","1","01","1",84,"1","2","1","2"
"1400915505","1","02","1",55,"8","2","1","2"
"1400915505","1","03","2",60,"8","2","1","2"
"1400923301","1","01","1",62,"8","2","1","2"
"1400923301","1","02","2",43,"8","2","1","2"
"1400923304","1","01","1",53,"8","2","1","2"
"1400923304","1","02","2",46,"8","2","1","2"
"1400923304","1","03","2",25,"8","2","1","2"
"1400923304","1","04","1",17,"8","2","1","1"
"1400923306","1","01","1",33,"8","2","1","1"
"1400923306","1","02","2",68,"8","2","1","2"
"1400936801","1","01","1",37,"8","2","1","2"
"1400936801","1","02","2",46,"8","2","1","2"
"1400936801","1","03","2",26,"8","2","1","2"
"1400936801","1","04","1",21,"8","2","1","2"
"1400936801","1","05","1",18,"8","2","1","1"
"1400936801","1","06","1",12,"8","2","1","1"
"1400936801","1","07","2",5,"8","2","2","1"
"1400936803","1","01","1",55,"8","2","1","2"
"1400936803","1","02","1",28,"8","2","1","2"
"1400936804","1","01","2",55,"8","2","1","2"
"1400936806","1","01","2",31,"8","2","1","2"
"1400957902","1","01","2",69,"8","2","1","2"
"1400957903","1","01","2",66,"8","2","1","2"
"1400957903","1","02","1",42,"8","2","1","2"
"1400957905","1","01","1",45,"8","2","1","2"
"1400957905","1","02","2",45,"8","2","1","2"
"1400957906","1","01","1",33,"8","2","1","2"
"1400957906","1","02","2",35,"8","2","1","2"
"1400957906","1","03","1",8,"1","2","2","2"
"1400957906","1","04","2",0,"8","","",""
"1400977801","1","01","2",87,"8","2","1","2"
"1400977801","1","02","1",59,"8","2","1","2"
"1400977802","1","01","1",57,"8","2","1","2"
"1400977802","1","02","2",56,"8","2","1","2"
"1400977804","1","01","2",64,"1","2","1","2"
"1400977804","1","02","1",69,"1","2","1","2"
"1400977805","1","01","1",31,"8","2","1","2"
"1400977805","1","02","2",33,"8","2","1","1"
"1400977806","1","01","1",28,"8","2","1","2"
"1400977806","1","02","2",35,"8","2","1","2"
"1400977806","1","03","2",13,"8","2","1","1"
"1401014401","1","01","1",50,"8","2","1","2"
"1401014401","1","02","2",51,"8","2","1","2"
"1401014401","1","03","1",87,"1","2","1","2"
"1401014401","1","04","1",17,"8","2","1","1"
"1401014401","1","05","2",15,"8","2","1","1"
"1401014402","1","01","1",30,"8","2","1","2"
"1401014402","1","02","1",26,"8","2","1","2"
"1401014402","1","03","1",27,"8","2","1","2"
