"Código de departamentos","Población total (en hogares familiares).","Población de 0 a 17 años.","Población de 0 a 3 años.","Población de 4 a 5 años.","Población de 6 a 12 años.","Población de 13 a 17 años.","Población de 18 años y más.","Población de 18 a 29 años.","Población de 30 a 54 años.","Población de 55 a 69 años.","Población de 70 años y más.","Total de mujeres (en hogares familiares).","Mujeres de 0 a 17 años.","Mujeres de 0 a 3 años.","Mujeres de 4 a 5 años.","Mujeres de 6 a 12 años.","Mujeres de 13 a 17 años.","Mujeres de 18 años y más.","Mujeres de 18 a 29 años.","Mujeres de 30 a 54 años.","Mujeres de 55 a 69 años.","Mujeres de 70 años y más.","Total de varones (en hogares familiares).","Varones de 0 a 17 años.","Varones de 0 a 3 años.","Varones de 4 a 5 años.","Varones de 6 a 12 años.","Varones de 13 a 17 años.","Varones de 18 años y más.","Varones de 18 a 29 años.","Varones de 30 a 54 años.","Varones de 55 a 69 años.","Varones de 70 años y más.","Población de 18 y más con primaria incompleta o menos","Población de 18 y más con primaria completa","Población de 18 y más con secundaria completa","Población de 18 y más con primaria completa sin secundario completo","Población de 18 y más con secundaria completa sin superior completo","Población de 18 y más con terciario completo","Población de 18 y más con universitario completo o más","Niños de 4 y 5 años que asisten a jardín","Población de 6 a 12 que asiste","Población de 13 a 17 sin secundaria completa que asiste","Población de 13 a 17 sin secundaria completa","Población de 18 a 29 sin secundaria completa que asiste","Población de 18 a 29 sin secundaria completa","Población de 14 a 25 años sin secundario completo o más que asiste","Población de 14 a 25 años sin secundario completo","Población de 14 a 25 años","Código de provincia","Nombre de provincia","Código de departamentos/comuna","Nombre de departamentos/comuna","Población total","Total de hogares","Latitud del centroide","Longitud del centroide","Superficie en km2"
"02001",189339,36668,9398,4077,13524,9669,152671,42931,63957,26491,19292,100315,18180,4603,2015,6725,4837,82135,21812,33019,14862,12442,89024,18488,4795,2062,6799,4832,70536,21119,30938,11629,6850,6758,144199,103834,40365,66674,10217,26943,3599,13339,8694,9478,3452,12295,9944,16408,35220,"02","Ciudad Autónoma de Buenos Aires","02001","Comuna 1",205886,84468,-34.606365,-58.371709,17.774343610998
"02002",152256,20450,4794,2304,7635,5717,131806,37195,46601,26313,21697,86604,10130,2335,1139,3766,2890,76474,20610,25853,15609,14402,65652,10320,2459,1165,3869,2827,55332,16585,20748,10704,7295,1620,129503,114740,14763,59994,11103,43643,2248,7595,5439,5599,1378,2651,5696,6672,29268,"02","Ciudad Autónoma de Buenos Aires","02002","Comuna 2",157932,73156,-34.585876,-58.394997,6.2761484446208
"02003",181871,32978,7813,3740,12551,8874,148893,37871,63224,27238,20560,98659,16172,3773,1864,6102,4433,82487,19434,33284,16048,13721,83212,16806,4040,1876,6449,4441,66406,18437,29940,11190,6839,4824,142720,103705,39015,70641,11183,21881,3521,12456,8188,8692,2964,8327,9154,13137,31329,"02","Ciudad Autónoma de Buenos Aires","02003","Comuna 3",187537,80489,-34.613826,-58.402686,6.3860399512473
"02004",215629,54229,12284,5983,20915,15047,161400,42783,70959,28094,19564,113547,26723,5991,2948,10198,7586,86824,21349,37125,15803,12547,102082,27506,6293,3035,10717,7461,74576,21434,33834,12291,7017,10634,148419,85455,62964,63227,9241,12987,5501,20736,13490,14755,5283,18271,15374,25068,40507,"02","Ciudad Autónoma de Buenos Aires","02004","Comuna 4",218245,76455,-34.642292,-58.38886,21.694409834743
"02005",175338,30799,7147,3500,11875,8277,144539,32997,62631,27894,21017,95791,15118,3516,1679,5809,4114,80673,16923,33404,16465,13881,79547,15681,3631,1821,6066,4163,63866,16074,29227,11429,7136,3775,139550,106552,32998,67289,12609,26654,3397,11802,7766,8120,2657,6252,8622,11263,27003,"02","Ciudad Autónoma de Buenos Aires","02005","Comuna 5",179005,76846,-34.617353,-58.420607,6.6597992407272
"02006",172815,29705,7320,3430,11236,7719,143110,29329,62497,29049,22235,95066,14852,3629,1708,5647,3868,80214,15261,33600,16770,14583,77749,14853,3691,1722,5589,3851,62896,14068,28897,12279,7652,2406,139787,115121,24666,65698,14020,35403,3356,11175,7339,7580,1966,4076,7740,9323,24252,"02","Ciudad Autónoma de Buenos Aires","02006","Comuna 6",176076,75189,-34.616826,-58.443603,6.8509481740965
"02007",216955,48845,11511,5542,18726,13066,168110,41240,72028,31394,23448,115707,23962,5579,2705,9230,6448,91745,20898,38009,17740,15098,101248,24883,5932,2837,9496,6618,76365,20342,34019,13654,8350,7060,158896,110798,48098,74116,12779,23903,5044,18564,11960,12816,3940,12629,13084,19619,37747,"02","Ciudad Autónoma de Buenos Aires","02007","Comuna 7",220591,81483,-34.63654,-58.451924,12.425128513625
"02008",186877,56109,13539,6371,21319,14880,130768,39997,57156,20066,13549,97470,27712,6640,3151,10495,7426,69758,20102,29628,11390,8638,89407,28397,6899,3220,10824,7454,61010,19895,27528,8676,4911,12035,116116,54577,61539,45367,4571,4639,5509,21063,12955,14626,4878,20064,14602,26201,39375,"02","Ciudad Autónoma de Buenos Aires","02008","Comuna 8",187237,58204,-34.674505,-58.462084,22.301591470819
"02009",159892,36172,7939,4203,13994,10036,123720,27797,53198,24177,18548,84263,17732,3904,2107,6722,4999,66531,13848,27446,13387,11850,75629,18440,4035,2096,7272,5037,57189,13949,25752,10790,6698,5714,116521,72067,44454,53112,8363,10592,3853,13851,9201,9891,2978,8863,10053,14503,26410,"02","Ciudad Autónoma de Buenos Aires","02009","Comuna 9",161797,56495,-34.651716,-58.499097,16.502346818172
"02010",163685,33053,7297,3912,12775,9069,130632,27932,55981,26415,20304,87489,16347,3575,1940,6326,4506,71142,14062,29364,14718,12998,76196,16706,3722,1972,6449,4563,59490,13870,26617,11697,7306,3763,125602,88827,36775,60227,11637,16963,3764,12683,8457,8931,2447,6508,9049,12168,25610,"02","Ciudad Autónoma de Buenos Aires","02010","Comuna 10",166022,61453,-34.627828,-58.502834,12.639610477106
