"folioviv","foliohog","ubica_geo","clase_hog","ing_cor","gasto_mon","alimentos","salud","educa_espa"
"1400180001","1","14039","2",28869.41,16068.03,8511.26,0,0
"1400180002","1","14039","3",57236.72,32341.6,12792.67,0,1451.61
"1400180005","1","14039","1",32527.16,24481.33,9147.68,0,2903.22
"1400180006","1","14039","1",28380.88,17468.34,7579.15,0,2961.27
"1400189601","1","14039","2",39774.56,70464.61,21188.41,0,5205
"1400189603","1","14039","2",102717.26,56377.38,13731.21,3072.69,5070
"1400189604","1","14039","2",91475.36,43816.1,12567.56,153.57,9630
"1400189605","1","14039","2",55827.72,60635.75,15299.8,0,11640
"1400189606","1","14039","2",40312.97,12302.84,5901.3,1027.17,565.96
"1400189606","2","14039","2",23390.15,21946.87,14374.08,317.92,0
"1400264701","1","14039","3",68139.31,32007.33,12779.84,0,794.26
"1400264702","1","14039","2",44322.14,41722.62,33312.71,1173.91,0
"1400264704","1","14039","3",58472.49,29167.81,16084.12,0,1483.69
"1400264705","1","14039","1",12931.74,6713.53,4679.91,489.12,0
"1400264706","1","14039","1",26320.54,10907.49,8177.03,0,590.16
"1400289201","1","14039","3",14756.72,28337.17,7521.3,342.38,11116.6
"1400289202","1","14039","2",71602.17,63875.72,18115.48,0,12665.91
"1400289203","1","14039","3",43920.97,27000.55,8221.93,0,0
"1400289204","1","14039","3",145988.74,43526.65,20648.38,0,4951.46
"1400289206","1","14039","3",113795.2,65662.69,19864,1760.86,6096.77
"1400434301","1","14039","2",368456.33,276609.79,46517.05,4421.72,65107.95
"1400434304","1","14039","2",47680.33,25154.06,5207.1,782.59,1161.29
"1400434305","1","14039","2",299055.1,315002.77,11301.4,8800.39,239225.79
"1400493501","1","14039","3",191024.05,29075.78,10330.59,24.45,580.64
"1400493502","1","14039","3",196666.65,84722.72,15499.06,0,3497.75
"1400493503","1","14039","3",64920.19,40937.2,16958.46,0,7854.48
"1400493505","1","14039","2",56018.75,52300.63,18134.8,97.82,9922.22
"1400493506","1","14039","2",119449.97,29644.51,6293.43,1778.46,1306.44
"1400507901","1","14039","2",64833.44,35865.93,6788.46,0,13093.53
"1400507902","1","14039","2",88534.96,48088.64,10478.47,978.26,2903.22
"1400507904","1","14039","1",138761.55,48773.77,4654.23,0,3483.87
"1400507906","1","14039","2",105248.54,40243.65,16482.63,146.73,0
"1400555301","1","14039","1",60917.59,37005.61,19362.68,117.39,117.39
"1400555303","1","14039","2",55603.07,25262.39,11866.95,733.68,97.82
"1400555304","1","14039","2",44924.25,18838.2,12149.83,117.39,377.41
"1400555305","1","14039","3",92210.31,40659.85,22872.54,195.65,4383.87
"1400555306","1","14039","3",82605.41,38924,9482.01,195.64,751.83
"1400563901","1","14039","1",18043.37,10652.32,4988.41,0,116.12
"1400563902","1","14039","2",25434.77,19370.23,5714.94,264.11,174.19
"1400563903","1","14039","2",31695.01,28389.73,12503.22,156.51,1132.25
"1400563905","1","14039","2",127809.74,61051.36,11317.97,29.34,3913.04
"1400563906","1","14039","2",81705.24,53293.37,11654.89,48.91,12685.82
"1400586801","1","14039","2",17453.12,9131,5207.02,0,0
"1400586802","1","14039","2",25991.79,25352.28,12946.9,68.47,0
"1400586803","1","14039","1",28332.78,9468.06,6415.57,97.82,0
"1400586804","1","14039","3",45368.82,41532.86,18706.92,229.88,4864.25
"1400586805","1","14039","2",71950.8,42402.55,19819.09,0,2723.6
"1400586806","1","14039","2",120122.89,125810.31,27333.97,0,45741.63
"1400595401","1","14039","2",83980.32,46923.79,13737.65,586.95,20322.57
"1400595402","1","14039","1",48115.35,8838.22,334.28,0,3631.55
"1400595404","1","14039","1",19587.56,27507.46,9784.13,39.13,7011.28
"1400595405","1","14039","3",48727.59,45038.64,19330.42,410.85,6879.37
"1400595406","1","14039","1",26999.99,30299.76,14991.32,0,0
