"folioviv","foliohog","numren","clave","ing_tri"
"1400180001","1","02","P044",1702.17
"1400180001","1","02","P040",3228.26
"1400180001","1","01","P032",6456.52
"1400180001","1","01","P023",5869.56
"1400180002","1","01","P024",1760.86
"1400180002","1","01","P044",1702.17
"1400180002","1","02","P040",1907.6
"1400180002","1","02","P044",1702.17
"1400180002","1","04","P001",23478.26
"1400180002","1","01","P003",7434.78
"1400180002","1","03","P032",3815.21
"1400180002","1","04","P005",538.04
"1400180005","1","01","P008",2201.08
"1400180005","1","01","P004",1956.52
"1400180005","1","01","P001",26413.04
"1400180005","1","01","P009",1956.52
"1400180006","1","01","P040",2739.13
"1400180006","1","01","P001",17608.69
"1400180006","1","01","P005",1173.91
"1400180006","1","01","P009",978.26
"1400189601","1","04","P001",7377.04
"1400189601","1","01","P001",15344.26
"1400189601","1","02","P001",14065.57
"1400189601","1","02","P009",737.7
"1400189603","1","02","P009",1229.5
"1400189603","1","02","P006",2950.81
"1400189603","1","02","P001",35409.83
"1400189603","1","01","P049",7868.85
"1400189603","1","01","P032",44262.29
"1400189603","1","02","P014",1770.49
"1400189603","1","02","P016",147.54
"1400189604","1","04","P040",491.8
"1400189604","1","04","P038",2459.01
"1400189604","1","03","P001",35409.83
"1400189604","1","01","P025",3540.98
"1400189604","1","01","P022",5409.83
"1400189604","1","01","P009",3688.52
"1400189604","1","01","P007",1475.4
"1400189604","1","01","P001",23016.39
"1400189604","1","03","P009",983.6
"1400189605","1","01","P051",1967.21
"1400189605","1","01","P001",47213.11
"1400189605","1","02","P040",442.62
"1400189605","1","02","P051",3501.63
"1400189605","1","04","P067",393.44
"1400189606","2","01","P068",20439.34
"1400189606","1","02","P001",10622.95
"1400189606","2","02","P024",2950.81
"1400189606","1","01","P044",1622.95
"1400189606","1","01","P040",3614.75
"1400264701","1","01","P009",2090.16
"1400264701","1","01","P001",32459.01
"1400264701","1","02","P001",20655.73
"1400264701","1","02","P008",491.8
"1400264701","1","02","P009",1229.5
"1400264701","1","03","P032",11213.11
"1400264702","1","01","P009",1721.31
"1400264702","1","01","P001",26557.37
"1400264704","1","02","P009",1229.5
"1400264704","1","02","P001",17704.91
"1400264704","1","01","P001",19180.32
"1400264704","1","01","P009",1229.5
"1400264705","1","01","P040",5901.63
"1400264705","1","01","P044",540.98
"1400264706","1","01","P032",7081.96
"1400264706","1","01","P024",5901.63
"1400289201","1","01","P045",2983.42
"1400289201","1","02","P041",5966.85
"1400289202","1","02","P008",1988.95
"1400289202","1","02","P001",23867.4
"1400289202","1","01","P009",4475.13
"1400289202","1","01","P008",2734.8
"1400289202","1","01","P004",2983.42
"1400289202","1","01","P001",32817.67
"1400289202","1","02","P009",2734.8
"1400289203","1","06","P032",7458.56
"1400289203","1","05","P009",4475.13
"1400289203","1","01","P001",3580.11
"1400289203","1","05","P001",26850.82
"1400289203","1","02","P068",1556.35
"1400289204","1","03","P009",994.47
"1400289204","1","03","P008",1491.71
"1400289204","1","03","P003",23867.4
"1400289204","1","03","P001",19392.26
"1400289204","1","02","P006",994.47
"1400289204","1","02","P076",25304.41
"1400289204","1","01","P032",23867.4
"1400289204","1","02","P001",26850.82
"1400289206","1","01","P001",50718.23
"1400289206","1","01","P009",4723.75
"1400289206","1","04","P001",20883.97
"1400289206","1","03","P001",23867.4
"1400289206","1","04","P009",1988.95
"1400434301","1","02","P009",19565.21
"1400434301","1","01","P001",88043.47
"1400434301","1","01","P009",6114.13
"1400434301","1","02","P001",234782.6
"1400434301","1","02","P007",12228.26
"1400434301","1","01","P007",7336.95
"1400434304","1","01","P069",9843.74
"1400434304","1","02","P032",8804.34
"1400434305","1","02","P009",3057.06
"1400434305","1","02","P001",73369.56
"1400434305","1","01","P009",2201.08
"1400434305","1","01","P051",15163.04
"1400434305","1","01","P001",52826.08
"1400434305","1","03","P022",2445.65
"1400434305","1","03","P014",5478.26
"1400434305","1","02","P051",19565.21
"1400493501","1","04","P009",2445.65
"1400493501","1","04","P006",3913.04
"1400493501","1","04","P001",49891.3
"1400493501","1","03","P032",7336.95
"1400493501","1","03","P024",8804.34
"1400493501","1","02","P016",12.22
"1400493501","1","02","P021",6163.04
"1400493501","1","02","P014",9391.3
"1400493501","1","02","P001",29347.82
"1400493501","1","01","P032",6749.99
"1400493501","1","01","P024",6456.52
"1400493501","1","05","P009",1956.52
"1400493501","1","05","P008",1222.82
"1400493501","1","05","P001",41086.95
"1400493502","1","03","P009",2934.78
"1400493502","1","03","P008",2445.65
"1400493502","1","03","P001",29347.82
"1400493502","1","02","P009",1956.52
"1400493502","1","04","P012",4402.17
"1400493502","1","01","P032",82173.91
"1400493502","1","02","P001",52826.08
"1400493503","1","01","P032",6749.99
