"folioviv","foliohog","numren","id_trabajo","pres_2","pres_3","pres_4"
"1400180002","1","01","1","","",""
"1400180002","1","04","1","","",""
"1400180005","1","01","1","02","03","04"
"1400180006","1","01","1","02","03",""
"1400189601","1","01","1","","",""
"1400189601","1","02","1","02","03",""
"1400189601","1","04","1","","",""
"1400189603","1","02","1","02","03",""
"1400189603","1","02","2","02","03",""
"1400189604","1","01","1","02","03",""
"1400189604","1","03","1","02","03",""
"1400189605","1","01","1","","",""
"1400189606","1","02","1","","",""
"1400189606","2","01","1","","",""
"1400189606","2","02","1","","",""
"1400264701","1","01","1","02","",""
"1400264701","1","02","1","02","03","04"
"1400264702","1","01","1","02","03",""
"1400264704","1","01","1","02","03",""
"1400264704","1","02","1","02","03",""
"1400289202","1","01","1","02","03","04"
"1400289202","1","02","1","02","03","04"
"1400289203","1","01","1","","",""
"1400289203","1","02","1","","",""
"1400289203","1","05","1","02","03",""
"1400289204","1","01","1","","",""
"1400289204","1","02","1","02","",""
"1400289204","1","02","2","","",""
"1400289204","1","03","1","02","03","04"
"1400289204","1","03","2","","",""
"1400289206","1","01","1","02","03",""
"1400289206","1","03","1","","",""
"1400289206","1","04","1","02","03",""
"1400434301","1","01","1","02","03",""
"1400434301","1","02","1","02","03",""
"1400434304","1","01","1","","",""
"1400434305","1","01","1","02","03",""
"1400434305","1","02","1","02","03","04"
"1400434305","1","03","1","","",""
"1400434305","1","03","2","","",""
"1400493501","1","02","1","","",""
"1400493501","1","02","2","02","03",""
"1400493501","1","04","1","02","03",""
"1400493501","1","05","1","02","03","04"
"1400493502","1","02","1","02","03",""
"1400493502","1","03","1","02","03","04"
"1400493502","1","04","1","","",""
"1400493503","1","02","1","02","03","04"
"1400493505","1","01","1","","",""
"1400493505","1","02","1","","",""
"1400493506","1","02","1","02","03",""
"1400493506","1","03","1","02","03",""
"1400507901","1","01","1","02","","04"
"1400507902","1","01","1","","",""
"1400507902","1","03","1","","",""
"1400507906","1","03","1","","",""
"1400555303","1","02","1","","",""
"1400555305","1","01","1","","",""
"1400555305","1","04","1","","",""
"1400555305","1","06","1","","",""
"1400555305","1","07","1","02","03","04"
"1400555305","1","08","1","02","03",""
"1400555306","1","01","1","02","",""
"1400555306","1","03","1","02","","04"
"1400563901","1","01","1","02","",""
"1400563902","1","01","1","","",""
"1400563903","1","01","1","02","",""
"1400563905","1","01","1","02","",""
"1400563905","1","02","1","02","03","04"
