"folioviv","tipo_viv","dotac_agua","disp_elect","tenencia","ubica_geo","est_socio","edo"
"1400180001","1","1","1","4","14039","3","14"
"1400180002","1","1","1","4","14039","3","14"
"1400180005","1","1","1","1","14039","3","14"
"1400180006","1","1","1","4","14039","3","14"
"1400189601","1","1","1","1","14039","3","14"
"1400189603","2","1","1","1","14039","3","14"
"1400189604","1","1","1","4","14039","3","14"
"1400189605","2","1","1","1","14039","3","14"
"1400189606","1","1","1","4","14039","3","14"
"1400264701","1","1","1","1","14039","3","14"
"1400264702","1","1","1","2","14039","3","14"
"1400264704","5","1","1","4","14039","3","14"
"1400264705","1","1","1","2","14039","3","14"
"1400264706","1","1","1","4","14039","3","14"
"1400289201","1","1","1","4","14039","3","14"
"1400289202","1","1","1","1","14039","3","14"
"1400289203","1","1","1","1","14039","3","14"
"1400289204","1","1","1","4","14039","3","14"
"1400289206","1","1","1","4","14039","3","14"
"1400434301","1","1","1","1","14039","4","14"
"1400434304","1","1","1","4","14039","4","14"
"1400434305","1","1","1","4","14039","4","14"
"1400493501","1","1","1","5","14039","3","14"
"1400493502","1","1","1","5","14039","3","14"
"1400493503","1","1","1","4","14039","3","14"
"1400493505","1","1","1","1","14039","3","14"
"1400493506","1","1","1","4","14039","3","14"
"1400507901","1","1","1","4","14039","4","14"
"1400507902","1","1","1","4","14039","4","14"
"1400507904","1","1","1","4","14039","4","14"
"1400507906","1","1","1","4","14039","4","14"
"1400555301","1","1","1","4","14039","3","14"
"1400555303","1","1","1","4","14039","3","14"
"1400555304","1","1","1","4","14039","3","14"
"1400555305","1","1","1","4","14039","3","14"
"1400555306","1","1","1","4","14039","3","14"
"1400563901","1","1","1","4","14039","3","14"
"1400563902","1","1","1","1","14039","3","14"
"1400563903","1","1","1","2","14039","3","14"
"1400563905","1","1","1","1","14039","3","14"
"1400563906","1","1","1","4","14039","3","14"
"1400586801","1","1","1","4","14039","3","14"
"1400586802","1","1","1","1","14039","3","14"
"1400586803","1","1","1","5","14039","3","14"
"1400586804","1","1","1","1","14039","3","14"
"1400586805","1","1","1","4","14039","3","14"
"1400586806","1","1","1","2","14039","3","14"
"1400595401","1","1","1","4","14039","3","14"
"1400595402","1","1","1","4","14039","3","14"
"1400595404","3","1","1","1","14039","3","14"
"1400595405","1","1","1","4","14039","3","14"
"1400595406","3","1","1","1","14039","3","14"
"1400608002","1","1","1","4","14039","3","14"
"1400608003","1","1","1","4","14039","3","14"
"1400608004","1","1","1","4","14039","3","14"
"1400608005","1","1","1","4","14039","3","14"
"1400608006","1","1","1","1","14039","3","14"
"1400618601","1","1","1","2","14039","3","14"
"1400618602","1","1","1","1","14039","3","14"
"1400618603","1","1","1","4","14039","3","14"
"1400618604","1","2","1","1","14039","3","14"
"1400618605","1","1","1","4","14039","3","14"
"1400618606","1","1","1","2","14039","3","14"
"1400640701","1","1","1","4","14039","3","14"
"1400640703","3","1","1","1","14039","3","14"
"1400640704","1","1","1","4","14039","3","14"
"1400640705","1","1","1","3","14039","3","14"
"1400640706","1","1","1","1","14039","3","14"
"1400667301","1","1","1","4","14039","2","14"
"1400667302","1","1","1","2","14039","2","14"
"1400667303","1","1","1","1","14039","2","14"
"1400667304","1","1","1","4","14039","2","14"
"1400667305","1","1","1","2","14039","2","14"
"1400723201","1","1","1","4","14039","3","14"
"1400723202","2","1","1","1","14039","3","14"
"1400723205","1","1","1","4","14039","3","14"
"1400750801","2","1","1","1","14039","4","14"
"1400750802","2","1","1","4","14039","4","14"
"1400750803","2","1","1","1","14039","4","14"
"1400750804","2","1","1","1","14039","4","14"
"1400791901","3","","1","1","14039","2","14"
"1400791902","3","1","1","1","14039","2","14"
"1400791903","1","1","1","4","14039","2","14"
"1400791905","1","1","1","1","14039","2","14"
"1400915501","1","1","1","4","14039","3","14"
"1400915502","1","1","1","4","14039","3","14"
"1400915503","1","1","1","2","14039","3","14"
"1400915505","1","1","1","4","14039","3","14"
"1400923301","1","1","1","1","14039","3","14"
"1400923304","1","1","1","4","14039","3","14"
"1400923306","1","1","1","2","14039","3","14"
"1400936801","1","1","1","1","14039","2","14"
"1400936803","1","1","1","5","14039","2","14"
"1400936804","1","1","1","2","14039","2","14"
"1400936806","1","1","1","1","14039","2","14"
"1400957902","2","1","1","2","14039","3","14"
"1400957903","2","1","1","4","14039","3","14"
"1400957905","2","1","1","1","14039","3","14"
"1400957906","2","1","1","1","14039","3","14"
"1400977801","1","1","1","4","14039","3","14"
"1400977802","1","1","1","4","14039","3","14"
"1400977804","1","1","1","4","14039","3","14"
"1400977805","1","1","1","3","14039","3","14"
"1400977806","3","1","1","1","14039","3","14"
"1401014401","1","1","1","3","14039","3","14"
"1401014402","1","1","1","1","14039","3","14"
"1401014403","1","1","1","3","14039","3","14"
"1401014405","1","1","1","4","14039","3","14"
"1401031001","1","1","1","1","14039","3","14"
"1401031002","1","1","1","1","14039","3","14"
"1401031003","1","1","1","3","14039","3","14"
"1401035602","3","1","1","1","14039","3","14"
"1401035604","1","1","1","1","14039","3","14"
"1401035605","2","1","1","1","14039","3","14"
"1401035606","2","1","1","2","14039","3","14"
"1401069701","1","1","1","1","14039","3","14"
"1401069702","1","1","1","4","14039","3","14"
"1401069703","1","1","1","2","14039","3","14"
"1401069705","1","1","1","4","14039","3","14"
"1401069706","1","1","1","1","14039","3","14"
"1401076201","1","1","1","4","14039","3","14"
"1401076202","2","1","1","1","14039","3","14"
"1401076203","1","1","1","4","14039","3","14"
"1401076204","1","1","1","4","14039","3","14"
"1401076205","1","1","1","4","14039","3","14"
"1401165502","1","1","1","2","14039","3","14"
"1401165503","1","1","1","2","14039","3","14"
"1401165505","1","1","1","1","14039","3","14"
"1401394301","3","1","1","4","14039","3","14"
"1401394303","1","1","1","1","14039","3","14"
"1401394304","1","1","1","1","14039","3","14"
"1401394306","1","1","1","1","14039","3","14"
"1401404902","1","1","1","1","14039","3","14"
"1401404904","1","1","1","1","14039","3","14"
"1401404906","1","1","1","4","14039","3","14"
